,Date,Hits,False Alarms,Misses,Correct Negatives,POD,FAR,Accuracy
0,20190101,344170,5240888,206819,36226097,0.624640419318716,0.9383766471180782,0.8703481752832728
1,20190103,323612,4722671,133609,35538719,0.7077802638111548,0.9358712145157139,0.880735617430565
2,20190104,216180,4894521,107132,34861735,0.6686420547335082,0.9577005189699026,0.8752069134078491
3,20190105,291980,4226771,158052,36516725,0.6487983076758986,0.9353847999148437,0.8935555361997642
4,20190106,461106,3217286,143369,32911354,0.7628206294718557,0.8746446816978724,0.9085115705542532
5,20190107,588183,4536331,230976,33699993,0.718032762870212,0.8852217010237459,0.8779350136317607
6,20190108,192165,3345982,83269,27633661,0.697680751105528,0.9456876721063313,0.89028179325874
7,20190109,419461,4008686,160699,35297049,0.7230091698841699,0.905273921574871,0.8954671820702531
8,20190110,322463,4301098,160970,36677811,0.6670272819604784,0.9302565706389513,0.8923826348255967
9,20190111,251675,4006705,178527,38048687,0.5850158762627788,0.9408988864309902,0.9014905617184027
10,20190112,402867,3945709,321254,38971960,0.5563531509236715,0.9073565691389549,0.9022275896566112
11,20190113,632910,3779816,347585,37494100,0.6455004869989138,0.8565716520808226,0.9023202335017757
12,20190114,812184,4185658,389818,35494837,0.675692719313279,0.8374930620055616,0.8880822763834606
13,20190115,411616,4014250,236225,33743051,0.6353657764791052,0.9069976361688311,0.8893253669000886
14,20190116,298539,3746644,249023,38084863,0.5452149710900318,0.9261988889006999,0.9057160269377319
15,20190117,644130,4246999,235158,37251404,0.7325586156071731,0.8683064789335959,0.8942331001469618
16,20190118,565611,3712402,249852,33309092,0.6936071900257891,0.8677865167777657,0.8952808493558295
17,20190119,586820,5642611,213729,36392724,0.7330219636774263,0.9057987800169871,0.863284250186129
18,20190120,627747,5575880,210975,35356097,0.7484565803687038,0.8988096802080461,0.8614613799017344
19,20190121,591777,4577285,440854,38110972,0.573076926801539,0.8855155925775314,0.8852233056199591
20,20190122,701081,4849289,404859,38517161,0.6339231784726115,0.8736875199311037,0.8818559560212528
21,20190123,749828,5463338,406187,38567200,0.6486317219067227,0.8793162777237885,0.8701046083333686
22,20190124,880027,5553131,385336,38685154,0.6954739470017695,0.8632045101332814,0.8694947051278175
23,20190125,986442,5281942,475320,37602110,0.6748307864070895,0.8426321680356532,0.8701734959696534
24,20190129,1149636,5466894,411659,34076903,0.7363349014760183,0.8262478973117329,0.8569872316549005
25,20190201,859285,5576503,412889,36498156,0.6754461260802375,0.8664833272941869,0.8618263068953619
26,20190202,1241156,4954108,561085,35211373,0.6886737123392488,0.7996605148707141,0.8685848853078088
27,20190203,1386462,5349601,562497,36261430,0.7113859244858409,0.7941732433321956,0.8642768742600722
28,20190204,1036806,4880903,430879,35061119,0.7064226996937354,0.8247960486059723,0.8717261631433422
29,20190205,1294735,4619681,656190,35017674,0.6636518574522342,0.7810882765094643,0.8731404376425281
30,20190206,1551936,4325585,583176,35147023,0.7268639771590436,0.7359539846816371,0.8820228313399533
31,20190207,679100,4264091,436221,30511759,0.6088830031892164,0.8626191057557759,0.869039881702383
32,20190208,1463457,4718122,879483,27461961,0.6246241901201055,0.7632551488867165,0.8378587819496572
33,20190209,1813672,6340688,769444,31980486,0.7021256497966022,0.7775825447981203,0.8261763741651548
34,20190210,1682436,7514083,753128,32958498,0.6907788093435443,0.817057301789949,0.8073276996710065
35,20190211,2502668,8134118,992409,33140373,0.7160551827613526,0.7647157703464186,0.7961444032696496
36,20190212,2686223,8852539,729635,34853121,0.7863977366740655,0.7672000687768757,0.7966497174390689
37,20190213,2317737,9354183,908148,34929470,0.718480974988259,0.8014262434972138,0.7839943002602973
38,20190214,2963360,9930580,971648,34677500,0.753075978498646,0.7701742058672524,0.7754113211751177
39,20190215,3215159,10099300,1020475,34550889,0.7590738482125698,0.7585212437095642,0.772535792227534
40,20190216,2887558,8783951,2094457,35500048,0.5795964082805852,0.7525977146571193,0.7791904171504518
